39,Cobro remesa nº 150 FACTURA N. C/6792 - 1,25,2022-8-1,2023-07-36214
39,Cobro remesa nº 15 FACTURA N. C/333 - 1,50,2019-12-1,2023-07-36215
39,Cobro remesa nº 145 FACTURA N. C/5824 - 1,25,2022-7-1,2023-07-36216
39,Cobro remesa nº 142 FACTURA N. C/4829 - 1,25,2022-6-1,2023-07-36217
39,Cobro remesa nº 138 FACTURA N. C/3870 - 1,25,2022-5-2,2023-07-36218
39,Cobro remesa nº 132 FACTURA N. C/2910 - 1,25,2022-4-1,2023-07-36219
39,Cobro remesa nº 129 FACTURA N. C/1949 - 1,25,2022-2-1,2023-07-36220
39,Cobro remesa nº 124 FACTURA N. C/981 - 1,25,2022-2-1,2023-07-36221
39,Cobro remesa nº 120 FACTURA N. C/23 - 1,25,2022-1-3,2023-07-36222
39,Cobro remesa nº 113 FACTURA N. C/10904 - 1,25,2021-12-1,2023-07-36223
39,Cobro remesa nº 111 FACTURA N. C/9925 - 1,25,2021-11-2,2023-07-36224
39,Cobro remesa nº 108 FACTURA N. C/8932 - 1,25,2021-10-1,2023-07-36225
39,Cobro remesa nº 103 FACTURA N. C/7965 - 1,25,2021-9-1,2023-07-36226
41,DEVOLUCINO FACTURA,30,2020-4-3,2023-07-36227
41,Cobro remesa nº 89 FACTURA N. C/6968 - 1,25,2021-8-2,2023-07-36228
41,Cobro remesa nº 83 FACTURA N. C/5992 - 1,25,2021-7-1,2023-07-36229
41,Cobro remesa nº 81 FACTURA N. C/5019 - 1,25,2021-6-1,2023-07-36230
41,Cobro remesa nº 77 FACTURA N. C/4054 - 1,25,2021-5-3,2023-07-36231
41,Cobro remesa nº 71 FACTURA N. C/3071 - 1,25,2021-4-1,2023-07-36232
41,Cobro remesa nº 66 FACTURA N. C/2078 - 1,25,2021-3-1,2023-07-36233
41,Cobro remesa nº 61 FACTURA N. C/1050 - 1,25,2021-2-1,2023-07-36234
41,Cobro remesa nº 58 FACTURA N. C/29 - 1,25,2021-1-4,2023-07-36235
41,Cobro remesa nº 54 FACTURA N. C/9668 - 1,25,2020-12-1,2023-07-36236
41,Cobro remesa nº 51 FACTURA N. C/8620 - 1,25,2020-11-2,2023-07-36237
41,Cobro remesa nº 5 FACTURA N. C/179 - 1,25,2019-11-5,2023-07-36238
41,Cobro remesa nº 47 FACTURA N. C/7499 - 1,25,2020-10-1,2023-07-36239
41,Cobro remesa nº 45 FACTURA N. C/6375 - 1,25,2020-9-1,2023-07-36240
41,Cobro remesa nº 4 FACTURA N. C/66 - 1,25,2019-11-4,2023-07-36241
41,Cobro remesa nº 38 FACTURA N. C/5269 - 1,25,2020-8-3,2023-07-36242
41,Cobro remesa nº 35 FACTURA N. C/4199 - 1,25,2020-7-1,2023-07-36243
41,Cobro remesa nº 29 FACTURA N. C/3193 - 1,25,2020-6-1,2023-07-36244
41,Cobro remesa nº 26 FACTURA N. C/2227 - 1,25,2020-5-4,2023-07-36245
41,Cobro remesa nº 25 FACTURA N. C/1289 - 1,30,2020-4-16,2023-07-36246
41,Cobro remesa nº 24 FACTURA N. C/1289 - 1,25,2020-4-1,2023-07-36247
41,Cobro remesa nº 21 FACTURA N. C/723 - 1,25,2020-3-2,2023-07-36248
41,Cobro remesa nº 20 FACTURA N. C/343 - 1,25,2020-2-3,2023-07-36249
41,Cobro remesa nº 182 FACTURA N. C/2068 - 1,25,2023-3-3,2023-07-36250
41,Cobro remesa nº 18 FACTURA N. C/34 - 1,25,2020-1-1,2023-07-36251
41,Cobro remesa nº 174 FACTURA N. C/1028 - 1,25,2023-2-2,2023-07-36252
41,Cobro remesa nº 172 FACTURA N. C/24 - 1,25,2023-1-2,2023-07-36253
41,Cobro remesa nº 167 FACTURA N. C/10851 - 1,25,2022-12-2,2023-07-36254
41,Cobro remesa nº 163 FACTURA N. C/9851 - 1,25,2022-11-2,2023-07-36255
41,Cobro remesa nº 158 FACTURA N. C/8801 - 1,25,2022-10-1,2023-07-36256
41,Cobro remesa nº 155 FACTURA N. C/7781 - 1,25,2022-9-1,2023-07-36257
41,Cobro remesa nº 150 FACTURA N. C/6794 - 1,25,2022-8-1,2023-07-36258
41,Cobro remesa nº 15 FACTURA N. C/334 - 1,25,2019-12-1,2023-07-36259
41,Cobro remesa nº 145 FACTURA N. C/5826 - 1,25,2022-7-1,2023-07-36260
41,Cobro remesa nº 142 FACTURA N. C/4831 - 1,25,2022-6-1,2023-07-36261
41,Cobro remesa nº 138 FACTURA N. C/3872 - 1,25,2022-5-2,2023-07-36262
41,Cobro remesa nº 132 FACTURA N. C/2912 - 1,25,2022-4-1,2023-07-36263
41,Cobro remesa nº 129 FACTURA N. C/1951 - 1,25,2022-2-1,2023-07-36264
41,Cobro remesa nº 124 FACTURA N. C/983 - 1,25,2022-2-1,2023-07-36265
41,Cobro remesa nº 120 FACTURA N. C/25 - 1,25,2022-1-3,2023-07-36266
41,Cobro remesa nº 113 FACTURA N. C/10906 - 1,25,2021-12-1,2023-07-36267
41,Cobro remesa nº 111 FACTURA N. C/9927 - 1,25,2021-11-2,2023-07-36268
41,Cobro remesa nº 108 FACTURA N. C/8934 - 1,25,2021-10-1,2023-07-36269
41,Cobro remesa nº 103 FACTURA N. C/7967 - 1,25,2021-9-1,2023-07-36270
56,DEVOLUCINO FACTURA,25,2021-8-6,2023-07-36271
56,Cobro remesa nº 95 FACTURA N. C/6976 - 1,25,2021-8-9,2023-07-36272
